Exercise Name,Main Muscles,Equipment,Movement Pattern,Mechanics,Level,Type,Laterality
Contralateral Kettlebell Split Squat,"Abductors, Glutes, Quads",Kettlebell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,strength,bilateral
Copenhagen Plank,"Adductors, Obliques, Abs","Bench, Box/Step","Core Anti-Lateral Flexion, Core, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Copenhagen Plank (Knee on Floor),,,,,"",strength,bilateral
Copenhagen Plank - Hip Drops,"Adductors, Abs, Obliques","Bodyweight, Box/Step, Bench","Core Anti-Lateral Flexion, Unilateral (Single Arm or Leg)","",Intermediate,endurance,bilateral
Couch Stretch,"Hip Flexor, Quads","Bodyweight, Bench, Box/Step",Static Stretches,"",Beginner,general,bilateral
Cross-Body Crunch,Abs,Bodyweight,"Core Flexion, Contralateral (Opposite Side Arm & Leg)","",Beginner,endurance,bilateral
Crunch,Abs,Bodyweight,"Core Flexion, Core","",Beginner,endurance,bilateral
Curtsy Lunge,"Glutes, Abductors, Quads",Bodyweight,"Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
DB Low Trap Raises (Incline Bench),,,,,"",strength,bilateral
DB Rolling Triceps Extensions,,,,,"",strength,bilateral
Dead Bug,Abs,Bodyweight,"Core, Contralateral (Opposite Side Arm & Leg), Core Anti-Extension","",Beginner,endurance,bilateral
Dead Bug (Knee Push Iso),Abs,Bodyweight,"Core Anti-Extension, Contralateral (Opposite Side Arm & Leg), Alternating","",Beginner,endurance,bilateral
Dead Hang,,,,,"",strength,bilateral
Dead Hang Pull Up,,,,,"",strength,bilateral
Deadmill Sprints,,,,,"",strength,bilateral
Decline Alternating Dumbbell Press,,,,,"",strength,bilateral
Decline Bench Press,,,,,"",strength,bilateral
Decline Dumbbell Fly,,,,,"",strength,bilateral
Decline Dumbbell Press,,,,,"",strength,bilateral
Decline Dumbbell Triceps Extension - Neutral,,,,,"",strength,bilateral
Decline Dumbbell Triceps Extension - Pronating,,,,,"",strength,bilateral
Decline E-Z Bar Triceps Extension,,,,,"",strength,bilateral
Decline Push Up,"Chest, Shoulders, Triceps","Bodyweight, Box/Step, Bench","Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Deep Squat Holds,"Glutes, Adductors, Quads",Bodyweight,"Squat, Mobility",Compound,Beginner,endurance,bilateral
Deficit Reverse Lunge,"Abductors, Glutes","Box/Step, Bodyweight","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,endurance,bilateral
Deficit Trap Bar Deadlift,"Hamstrings, Glutes, Lower Back, Middle Back",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Advanced,strength,bilateral
Depth Drop,,,,,"",strength,bilateral
Depth Push Up,"Chest, Shoulders, Triceps","Bodyweight, Box/Step","Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Advanced,endurance,bilateral
Dip,"Chest, Triceps, Shoulders",Bodyweight,"Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Dip - Leg Assisted,"Triceps, Shoulders, Chest",Bodyweight,"Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Double Dumbbell Swing,,,,,"",strength,bilateral
Double Kettlebell Swing,,,,,"",strength,bilateral
Double-Leg Lateral Pogo Hops,,,,,"",strength,bilateral
Double-Leg Pogo Hops,,,,,"",strength,bilateral
Dowel Hip Hinge,,,,,"",strength,bilateral
Dowel Squat,"Glutes, Quads",Bodyweight,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Dowel Thoracic Extension Rockback,,,,,"",strength,bilateral
Down Dog Terminal Knee Extension,,,,,"",strength,bilateral
Dumbbell B-Stance RDL,,,,,"",strength,bilateral
Dumbbell Bent-Over Reverse Flies,,,,,"",strength,bilateral
Dumbbell Chest Supported Row (Pronated Grip),,,,,"",strength,bilateral
Dumbbell Curl,Biceps,Dumbbell,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Dumbbell Curl To Press,"Biceps, Shoulders",Dumbbell,"Elbow Flexion, Vertical Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Dumbbell Curtsy Lunge,"Abductors, Glutes, Quads",Dumbbell,"Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Dumbbell Deficit Reverse Lunge,"Abductors, Glutes, Quads","Box/Step, Dumbbell","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Dumbbell External Rotation - Elbow On Knee,,,,,"",strength,bilateral
Dumbbell Formers Carry,,,,,"",strength,bilateral
Dumbbell French Press,,,,,"",strength,bilateral
Dumbbell Front Foot Elevated Split Squat,"Abductors, Glutes, Quads","Box/Step, Dumbbell","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Dumbbell Front Rock Cory,,,,,"",strength,bilateral
Dumbbell Front Squat,"Glutes, Quads",Dumbbell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Dumbbell Glute Bridge,,,,,"",strength,bilateral
Dumbbell Goblet Squat,"Glutes, Quads",Dumbbell,"Bilateral (2 Arms and/or 2 Legs), Squat",Compound,Beginner,strength,bilateral
Dumbbell Hold,,,,,"",strength,bilateral
Dumbbell Lateral Step Up,,,,,"",strength,bilateral
Dumbbell Lunge,"Glutes, Abductors, Quads",Dumbbell,"Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Dumbbell Overhead Carry,,,,,"",strength,bilateral
Dumbbell RDL,,,,,"",strength,bilateral
Dumbbell Rear Foot Elevated Split Squat,"Abductors, Glutes, Quads","Dumbbell, Box/Step","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Dumbbell Renegade Row,"Abs, Middle Back, Lats, Biceps",Dumbbell,"Horizontal Pull, Alternating",Compound,Advanced,strength,bilateral
Dumbbell Reverse Lunge,"Abductors, Glutes, Quads","","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Dumbbell Reverse Lunge with Overhead Press,"Abductors, Glutes, Quads, Shoulders",Dumbbell,"Lunge, Vertical Push, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Dumbbell Single Prone T,,,,,"",strength,bilateral
Dumbbell Single Prone Y,,,,,"",strength,bilateral
Dumbbell Split Squat,"Abductors, Glutes, Quads",Dumbbell,"Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
Dumbbell Step Up,,,,,"",strength,bilateral
Dumbbell Suitcase Carry,,,,,"",strength,bilateral
Dumbbell Suitcase Hold,,,,,"",strength,bilateral
Dumbbell Sumo Goblet Squat,"Adductors, Glutes, Quads",Dumbbell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Dumbbell Swing,,,,,"",strength,bilateral
Dumbbell Walking Lunges,"","","","",Beginner,strength,bilateral
Dumbbell Windmill,,,,,"",strength,bilateral
Dumbbell Wrist Extension,,,,,"",strength,bilateral
Dumbbell Wrist Flexion,,,,,"",strength,bilateral
Dumbbell Wrist Supination & Pronation,,,,,"",strength,bilateral
"Dumbbell Y, T, T",,,,,"",strength,bilateral
Dumbbell Y-Raise,,,,,"",strength,bilateral
Dumbbell Zottman Curl,"Biceps, Forearms",Dumbbell,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Dumbbells To Side RDL,,,,,"",strength,bilateral
EZ Bar California Press,Triceps,"EZ Bar, Bench","Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
EZ Bar Cubon Press,,,,,"",strength,bilateral
EZ Bar Curl,Biceps,EZ Bar,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
EZ Bar Reverse Curl,Forearms,EZ Bar,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Eccentric Push Up,"Chest, Shoulders, Triceps",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Eccentric Push Up - Knees,"Triceps, Shoulders, Chest",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Eccentric Sliding Leg Curl Isometric,Hamstrings,Bodyweight,"Knee Extension, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Eccentric To Knees Push Up,"Chest, Shoulders, Triceps",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Eccentric Towel Slides,Hamstrings,Bodyweight,"Knee Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Eccentric Towel Slides,,,,,"",strength,bilateral
Elbow Side Plank with Dumbbell Overhead,"Abs, Obliques, Shoulders",Dumbbell,Core Anti-Lateral Flexion,"",Intermediate,timed_strength,bilateral
Elbow and Knee Side Plank,,,,,"",strength,bilateral
Erector Spinne Stretch,,,,,"",strength,bilateral
Feet Banded Anterior Tibialis Raise,,,,,"",strength,bilateral
Feet Elevated Glute Bridge,,,,,"",strength,bilateral
Feet Elevated Glute Bridge w Bond,,,,,"",strength,bilateral
Feet-Elevated Hip Thrust,,,,,"",strength,bilateral
Feet-Elevated Hip Thrust with Mini Band,,,,,"",strength,bilateral
Fire Hydrant,,,,,"",strength,bilateral
Flat Dumbbell Fly,,,,,"",strength,bilateral
Flat Dumbbell Press,,,,,"",strength,bilateral
Flat Dumbbell Triceps Extension - Neutral,,,,,"",strength,bilateral
Flat Dumbbell Triceps Extension - Pronating,,,,,"",strength,bilateral
Flat EZ Bar Accumulated Eccentric Press,,,,,"",strength,bilateral
Flat EZ Bar Triceps Extension,,,,,"",strength,bilateral
Floor Dumbbell Press,,,,,"",strength,bilateral
Floor Glute Smash - Lacrosse,,,,,"",strength,bilateral
Floor Seated Face Pull w/ External Rotation,,,,,"",strength,bilateral
Floor Seated Rope Facet Pull,,,,,"",strength,bilateral
Flutter Kicks,,,,,"",strength,bilateral
Foam Roller - Adductor,Adductors,Foam Roller,Mobility,"",Beginner,general,bilateral
Foam Roller - Angles,,,,,"",strength,bilateral
Foam Roller - Calf,Calves,"","","",Beginner,general,bilateral
Foam Roller - Chest,,,,,"",strength,bilateral
Foam Roller - Glutes,,,,,"",strength,bilateral
Foam Roller - Hamstring,,,,,"",strength,bilateral
Foam Roller - Hip,,,,,"",strength,bilateral
Foam Roller - Lateral Hip,,,,,"",strength,bilateral
Foam Roller - Lats,,,,,"",strength,bilateral
Foam Roller - Oblique Side Smash,,,,,"",strength,bilateral
Foam Roller - Quad,,,,,"",strength,bilateral
Foam Roller - Shin,,,,,"",strength,bilateral
Foam Roller - Thoracic Spine,,,,,"",strength,bilateral
Foam Roller - Vastus Lateralis,,,,,"",strength,bilateral
Foam Roller Body Saw,,,,,"",strength,bilateral
Foam Roller Chest Opener,,,,,"",strength,bilateral
Foam Roller External Rotations,,,,,"",strength,bilateral
Foam Roller Thoracic Extension,,,,,"",strength,bilateral
Foam Roller Thread The Needle,,,,,"",strength,bilateral
Foam Roller Triceps Smash,,,,,"",strength,bilateral
Foot Banded Anterior Tibialis Raise,,,,,"",strength,bilateral
Foot Banded Lateral Walk,,,,,"",strength,bilateral
Foot Doming,,,,,"",strength,bilateral
Foot Elevated Glute Bridge,,,,,"",strength,bilateral
Foot Elevated Glute Bridge w Band,,,,,"",strength,bilateral
Foot-Elevated Hip Thrust,,,,,"",strength,bilateral
Foot-Elevated Hip Thrust with Mini Band,,,,,"",strength,bilateral
Forward Leaning OH Rope Triceps Extensions,,,,,"",strength,bilateral
Forward Lunge,"Glutes, Quads",Bodyweight,"Unilateral (Single Arm or Leg), Lunge",Compound,Beginner,strength,bilateral
Frog Pump,,,,,"",strength,bilateral
Frog Pump w Mini Band,,,,,"",strength,bilateral
Frog Stretch,,,,,"",strength,bilateral
Front Foot Elevated Single DB Split Squat,"Abductors, Glutes, Quads","Box/Step, Dumbbell","Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Front Foot Elevated Split Squat,"Abductors, Glutes, Quads","Bodyweight, Box/Step","Unilateral (Single Arm or Leg), Lunge",Compound,Beginner,endurance,bilateral
Full Kneeling Foam Roller Ankle Plantar Flexion,,,,,"",strength,bilateral
Full Kneeling Foam Roller Quad Stretch,,,,,"",strength,bilateral
Full Kneeling Kettlebell Halos,,,,,"",strength,bilateral
Full-Kneeling Pallof Press,,,,,"",strength,bilateral
Full-Kneeling Pallof Press Hold,,,,,"",strength,bilateral
Full-Kneeling Rope Chop,,,,,"",strength,bilateral
Full-Kneeling Rope Face Pull,,,,,"",strength,bilateral
Full-Kneeling Rope Lift,,,,,"",strength,bilateral
Gap and Smash - Lacrosse,,,,,"",strength,bilateral
Global Gut Smash,,,,,"",strength,bilateral
Glute Bridge,,,,,"",strength,bilateral
Glute Bridge (Ball between knees),,,,,"",strength,bilateral
Glute Bridge Band Pull Apart,,,,,"",strength,bilateral
Glute Bridge w Mini Band,,,,,"",strength,bilateral
Hack Squat,,,,,"",strength,bilateral
Half-Kneeling 45° Single Arm Pulldown,,,,,"",strength,bilateral
Half-Kneeling Banded Y-Press,,,,,"",strength,bilateral
Half-Kneeling Cable Row,"Biceps, Lats, Middle Back",Cable,"Horizontal Pull, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,strength,bilateral
Half-Kneeling Free Pulley w External Rotation,,,,,"",strength,bilateral
Half-Kneeling High Rope Face Pull,,,,,"",strength,bilateral
Half-Kneeling Hip Flexor Stretch,,,,,"",strength,bilateral
Half-Kneeling Kettlebell Halos,,,,,"",strength,bilateral
Half-Kneeling Kettlebell Press,,,,,"",strength,bilateral
Half-Kneeling Landmine Press,,,,,"",strength,bilateral
Half-Kneeling Landmine Y Press,,,,,"",strength,bilateral
Half-Kneeling Neutral Grip Dumbbell Press,,,,,"",strength,bilateral
Half-Kneeling Neutral Grip High Face Pull,,,,,"",strength,bilateral
Half-Kneeling Pallof Press,,,,,"",strength,bilateral
Half-Kneeling Rope Chop,,,,,"",strength,bilateral
Half-Kneeling Rope Face Pull,,,,,"",strength,bilateral
Half-Kneeling Rope Lift,,,,,"",strength,bilateral
Half-Kneeling Rotation With Dowel,,,,,"",strength,bilateral
Half-Kneeling Rotation with Forward Lean,,,,,"",strength,bilateral
Half-Kneeling Single Arm Band Press,,,,,"",strength,bilateral
Half-Kneeling Single Pronated Row,"Posterior Shoulder, Middle Back, Traps",Cable,"Horizontal Pull, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,strength,bilateral
Half-Kneeling Wall Sweeps Facing Wall,,,,,"",strength,bilateral
Half-kneeling Pallof Press Hold,,,,,"",strength,bilateral
Hand Stand Wall Holds,,,,,"",strength,bilateral
Hanging Knee Raise With Ball Between Knees,,,,,"",strength,bilateral
Hanging Knee Raises,,,,,"",strength,bilateral
Heel Raise with Ball,,,,,"",strength,bilateral
Heels Elevated Dumbbell Goblet Squat,"Glutes, Quads",Dumbbell,"Bilateral (2 Arms and/or 2 Legs), Squat",Compound,Intermediate,strength,bilateral
Heels Elevated Kettlebell Goblet Squat,"Glutes, Quads",Kettlebell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Heels Elevated Kettlebell Rack Squat,"Glutes, Quads",Kettlebell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Heels Elevated Squat,"Glutes, Quads",Bodyweight,"Bilateral (2 Arms and/or 2 Legs), Squat",Compound,Beginner,endurance,bilateral
Hip 90/90 Stretch,,,,,"",strength,bilateral
Hip Capsule Mobilisation,,,,,"",strength,bilateral
Hip External Rotation With Flexion,,,,,"",strength,bilateral
Hip Hinge Single-Leg With Dowel,,,,,"",strength,bilateral
Hip Hinge Stretch,,,,,"",strength,bilateral
Hip Thrust,,,,,"",strength,bilateral
Hip Thrust w Mini Band,,,,,"",strength,bilateral
Hip-Banded Hip Thrust,,,,,"",strength,bilateral
Hip-Banded Single-Leg Hip Thrust,,,,,"",strength,bilateral
Hollow Body Hold,,,,,"",strength,bilateral
Hollow Body Rocks,,,,,"",strength,bilateral
Hood Mobilisation - Lacrosse Ball,,,,,"",strength,bilateral
Horizontal Quadruped Hip Extensions,,,,,"",strength,bilateral
Ice Skaters,,,,,"",strength,bilateral
Incline Bench DB Prone T's,,,,,"",strength,bilateral
Incline Bench Lateral Raise,,,,,"",strength,bilateral
Incline Bench Press,,,,,"",strength,bilateral
Incline Bench Rear Delt Fly,,,,,"",strength,bilateral
Incline Bench Wide Grip BB Shrugs,,,,,"",strength,bilateral
Incline Dumbbell Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Incline Dumbbell Fly,,,,,"",strength,bilateral
Incline Dumbbell Hammer Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Incline Dumbbell Press,,,,,"",strength,bilateral
Incline Dumbbell Triceps Extension - Neutral,,,,,"",strength,bilateral
Incline Dumbbell Triceps Extension - Pronating,,,,,"",strength,bilateral
Incline Dumbbell Zottman Curl,"Biceps, Forearms","Bench, Dumbbell","Bilateral (2 Arms and/or 2 Legs), Elbow Flexion",Isolation,Beginner,strength,bilateral
Incline EZ Bar Triceps Extension,,,,,"",strength,bilateral
Incline Push Up,"Chest, Shoulders, Triceps","Bodyweight, Box/Step, Bench","Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Incline Supinating Dumbbell Curl,Biceps,"Bench, Dumbbell","Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Inverted TRX Row,"Lats, Biceps, Middle Back",TRX,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Ipsilateral Dumbbell Split Squat,"Glutes, Quads, Abductors",Dumbbell,"Lunge, Ipsilateral (Same Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Ipsilateral Kettlebell Split Squat,"Abductors, Glutes, Quads",Kettlebell,"Lunge, Ipsilateral (Same Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Ispilateral Dead Bug,Abs,Bodyweight,"Core Anti-Extension, Ipsilateral (Same Side Arm & Leg), Alternating","",Beginner,endurance,bilateral
Ispilateral Knee Bent Dead Bug,Abs,Bodyweight,"Core Anti-Extension, Ipsilateral (Same Side Arm & Leg), Alternating","",Beginner,endurance,bilateral
Ispirated Lats,,,,,"",strength,bilateral
Kettlebell Renegade Row,"Abs, Lats, Middle Back, Shoulders",Kettlebell,"Horizontal Pull, Alternating",Compound,Advanced,strength,bilateral
Kettlebell Reverse Lunge with Overhead Press,"Abductors, Glutes, Quads, Shoulders",Kettlebell,"Lunge, Vertical Push, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Kettlebell Step Up,,,,,"",strength,bilateral
Kettlebell Subroos Carry,,,,,"",strength,bilateral
Kettlebell Subroos Hold,,,,,"",strength,bilateral
Kettlebell Suitcase Deadlift,"Obliques, Middle Back, Glutes, Hamstrings",Kettlebell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs), Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Kettlebell Sumo Goblet Squat,"Adductors, Glutes, Quads",Kettlebell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Kettlebell Swing,,,,,"",strength,bilateral
Kettlebell Swing To Squat,"Glutes, Hamstrings, Quads, Shoulders",Kettlebell,"Hip Hinge, Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Kettlebell To Side RDL,,,,,"",strength,bilateral
Kettlebell Walking Lunges,,,,,"",strength,bilateral
Kettlebell Windmill,,,,,"",strength,bilateral
Kettlebell Wrist Pronation,,,,,"",strength,bilateral
Kettlebell Wrist Supination,,,,,"",strength,bilateral
Knee Bent Dead Bug,Abs,Bodyweight,"Alternating, Contralateral (Opposite Side Arm & Leg), Core, Core Anti-Extension","",Beginner,endurance,bilateral
Knee Scissor Slack and Smash - Lacrosse,,,,,"",strength,bilateral
Knee Scissor Smash - Lacrosse,,,,,"",strength,bilateral
Kneeling Active Hip Stretch,,,,,"",strength,bilateral
Kneeling Adauc Lat Stretch,,,,,"",strength,bilateral
Kneeling Banded Hip Extension,,,,,"",strength,bilateral
Kneeling Hip Opener,Hip Flexor,Bodyweight,Static Stretches,"",Beginner,general,bilateral
Knees Bent Inverted TRX Row,"Biceps, Lats, Middle Back",TRX,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
L-Lateral Raise,,,,,"",strength,bilateral
Landmine D Stance Hip Thrust,,,,,"",strength,bilateral
Landmine Meadows Row,"Middle Back, Traps, Posterior Shoulder",Landmine,"Horizontal Pull, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,strength,bilateral
Landmine RDL,,,,,"",strength,bilateral
Landmine Rear Foot Elevated Split Squat,"Abductors, Glutes, Quads",Landmine,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Landmine Reverse Lunge,"Abductors, Glutes, Quads",Landmine,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Landmine Rotations,,,,,"",strength,bilateral
Landmine Single-Leg Hip Thrust,,,,,"",strength,bilateral
Landmine Single-Leg RDL,,,,,"",strength,bilateral
Landmine Split Squat,"Abductors, Glutes, Quads",Landmine,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Landmine Squat,"Glutes, Quads",Landmine,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Lateral Banded Dead Bug,,,,,"",strength,bilateral
Lateral Step Up,,,,,"",strength,bilateral
Leg Extension Machine,,,,,"",strength,bilateral
Leg Lock Bridge,,,,,"",strength,bilateral
Leg Lock Clam,,,,,"",strength,bilateral
Leg Raise,,,,,"",strength,bilateral
Levator Scapulae Stretch,,,,,"",strength,bilateral
Loaded Chin Up,,,,,"",strength,bilateral
Loaded Close Grip Chin Up,,,,,"",strength,bilateral
Loaded Close Grip Pull Up,,,,,"",strength,bilateral
Loaded Dead Bug,Abs,"Dumbbell, Plate","Core Anti-Extension, Alternating, Core","",Intermediate,strength,bilateral
Loaded Neutral Grip Chin Up,,,,,"",strength,bilateral
Loaded Pull Up,,,,,"",strength,bilateral
Loaded Wide Grip Pull Up,,,,,"",strength,bilateral
Loft Pulley External Rotation,,,,,"",strength,bilateral
Lower Body Warm Up,,,,,"",strength,bilateral
Lunge Jump,"Glutes, Calves, Ankle & Foot, Quads, Adductors","","Lunge, Contralateral (Opposite Side Arm & Leg), Plyometrics",Compound,Intermediate,endurance,bilateral
Lunging Chest Throes,,,,,"",strength,bilateral
Lunging Figure Four Stretch,,,,,"",strength,bilateral
Lunging Knee to Chest Stretch,,,,,"",strength,bilateral
Machine Row - Neutral,"","","","",Beginner,strength,bilateral
Machine Row - Overhand,"","","","",Beginner,strength,bilateral
McGil Curl Up,Abs,Bodyweight,"Core Flexion, Core",Isolation,Beginner,endurance,bilateral
Medial Elbow Tack and Twist,,,,,"",strength,bilateral
Medicine Ball Crunch,,,,,"",strength,bilateral
Medicine Ball Plank,,,,,"",strength,bilateral
Medicine Ball Plank Alternating Knee To Chest,,,,,"",strength,bilateral
Medicine Ball Plank Knee To Chest,,,,,"",strength,bilateral
Medicine Ball Push Up,"Chest, Shoulders, Triceps","Medicine Ball, Bodyweight","Horizontal Push, Unilateral (Single Arm or Leg)",Compound,Intermediate,endurance,bilateral
Medicine Ball Slam From Knees,,,,,"",strength,bilateral
Mini Blind Bodyweight Bench Press,,,,,"",strength,bilateral
Mini Blind Leg Extension,,,,,"",strength,bilateral
Monkey Bar of Death,,,,,"",strength,bilateral
Mountain Climbers,,,,,"",strength,bilateral
Mystic Crunch,,,,,"",strength,bilateral
Negative Chin Up,,,,,"",strength,bilateral
Negative Close Grip Chin Up,,,,,"",strength,bilateral
Negative Pull Up,,,,,"",strength,bilateral
Negative Wide Grip Pull Up,,,,,"",strength,bilateral
Neutral Dumbbell Curl,Biceps,Dumbbell,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Neutral Grip Chin Up,,,,,"",strength,bilateral
Nordic Hamstring Curl,,,,,"",strength,bilateral
Offset Barbell Reverse Lunge,,,,,"",strength,bilateral
Offset Carry - Kettlebell Suitcase,,,,,"",strength,bilateral
Overhead Distribution with External,,,,,"",strength,bilateral
Overhead Stretch,,,,,"",strength,bilateral
Partner Assisted Nordic Hamstring Curl,,,,,"",strength,bilateral
Paused Barbell Back Squat,"Quads, Glutes",Barbell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Paused Dumbbell Goblet Box Squat,"Quads, Glutes","Box/Step, Bench, Dumbbell","Bilateral (2 Arms and/or 2 Legs), Squat",Compound,Beginner,strength,bilateral
Pec Stretch,,,,,"",strength,bilateral
Pendlay Row,"Lats, Middle Back, Biceps",Barbell,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Pigeon Stretch,,,,,"",strength,bilateral
Plank Arm Reach,,,,,"",strength,bilateral
Plank Band Pulldown,,,,,"",strength,bilateral
Plank Cable Row,,,,,"",strength,bilateral
Plank Ext Plank Side Lying Hip,,,,,"",strength,bilateral
Plank Ext Range Side Lying Hip Abduction,,,,,"",strength,bilateral
Plank Pull Through,,,,,"",strength,bilateral
Plank with Leg Abduction,,,,,"",strength,bilateral
Plantar Mob - Lacrosse Ball,,,,,"",strength,bilateral
Planting Jacks,,,,,"",strength,bilateral
Plate Push Up,"Chest, Triceps, Shoulders",Plate,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Advanced,strength,bilateral
Plyometric Push-Up,"Chest, Shoulders, Triceps","Bodyweight, Box/Step","Plyometrics, Bilateral (2 Arms and/or 2 Legs), Horizontal Push",Compound,Advanced,endurance,bilateral
Posterior Chain Floss,,,,,"",strength,bilateral
Posterior Chain Floss - 2,,,,,"",strength,bilateral
Posterior Chain Moh,,,,,"",strength,bilateral
Posterior Neck Mobilisation - Lacrosse Ball,,,,,"",strength,bilateral
Pronated Bent Over Row,"Lower Back, Middle Back, Traps",Barbell,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Pronated to Neutral Grip TRX Row,"Biceps, Middle Back, Lats, Traps",TRX,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Prone Back Extension,,,,,"",strength,bilateral
Prone Dumbbell Overhead Press On Bench,,,,,"",strength,bilateral
Prone Overhead Press On Bench,,,,,"",strength,bilateral
Prone Shoulder External Rotation At 90 Degrees,,,,,"",strength,bilateral
Prone T,,,,,"",strength,bilateral
Prone TT - Elbows 90 Degrees,,,,,"",strength,bilateral
Prone Y,,,,,"",strength,bilateral
Pull Up,,,,,"",strength,bilateral
Push Up,"Chest, Shoulders, Triceps",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
